make_model_id,model,make,make_model
198,Windstar,Ford,Ford_Windstar
199,Metro,Geo,Geo_Metro
200,1500,GMC,GMC_1500
201,2500,GMC,GMC_2500
202,3500,GMC,GMC_3500
203,3500 Club Coupe,GMC,GMC_3500 Club Coupe
204,Canyon,GMC,GMC_Canyon
205,Envoy XUV,GMC,GMC_Envoy XUV
206,Jimmy,GMC,GMC_Jimmy
207,Rally Wagon 2500,GMC,GMC_Rally Wagon 2500
208,Rally Wagon G2500,GMC,GMC_Rally Wagon G2500
209,Safari,GMC,GMC_Safari
210,Savana 1500,GMC,GMC_Savana 1500
211,Savana 2500,GMC,GMC_Savana 2500
212,Savana 3500,GMC,GMC_Savana 3500
213,Sierra,GMC,GMC_Sierra
214,Sierra 1500,GMC,GMC_Sierra 1500
215,Sierra 3500,GMC,GMC_Sierra 3500
216,Sierra 3500HD,GMC,GMC_Sierra 3500HD
217,Suburban 1500,GMC,GMC_Suburban 1500
218,Suburban 2500,GMC,GMC_Suburban 2500
219,Vandura 1500,GMC,GMC_Vandura 1500
220,Vandura 2500,GMC,GMC_Vandura 2500
221,Vandura 3500,GMC,GMC_Vandura 3500
222,Yukon,GMC,GMC_Yukon
223,Yukon XL 2500,GMC,GMC_Yukon XL 2500
224,VS Commodore,Holden,Holden_VS Commodore
225,Accord,Honda,Honda_Accord
226,Civic,Honda,Honda_Civic
227,Civic Si,Honda,Honda_Civic Si
228,CR-V,Honda,Honda_CR-V
229,Element,Honda,Honda_Element
230,Odyssey,Honda,Honda_Odyssey
231,Passport,Honda,Honda_Passport
232,Pilot,Honda,Honda_Pilot
233,Prelude,Honda,Honda_Prelude
234,S2000,Honda,Honda_S2000
235,H1,Hummer,Hummer_H1
236,H2,Hummer,Hummer_H2
237,Accent,Hyundai,Hyundai_Accent
238,Azera,Hyundai,Hyundai_Azera
239,Elantra,Hyundai,Hyundai_Elantra
240,Genesis,Hyundai,Hyundai_Genesis
241,Santa Fe,Hyundai,Hyundai_Santa Fe
242,Sonata,Hyundai,Hyundai_Sonata
243,Tiburon,Hyundai,Hyundai_Tiburon
244,Tucson,Hyundai,Hyundai_Tucson
245,FX,Infiniti,Infiniti_FX
246,G25,Infiniti,Infiniti_G25
247,G35,Infiniti,Infiniti_G35
248,IPL G,Infiniti,Infiniti_IPL G
249,J,Infiniti,Infiniti_J
250,M,Infiniti,Infiniti_M
251,Q,Infiniti,Infiniti_Q
252,QX,Infiniti,Infiniti_QX
253,Amigo,Isuzu,Isuzu_Amigo
254,Hombre Space,Isuzu,Isuzu_Hombre Space
255,i-Series,Isuzu,Isuzu_i-Series
256,Space,Isuzu,Isuzu_Space
257,Trooper,Isuzu,Isuzu_Trooper
258,S-Type,Jaguar,Jaguar_S-Type
259,XF,Jaguar,Jaguar_XF
260,XJ,Jaguar,Jaguar_XJ
261,XJ Series,Jaguar,Jaguar_XJ Series
262,XK,Jaguar,Jaguar_XK
263,XK Series,Jaguar,Jaguar_XK Series
264,X-Type,Jaguar,Jaguar_X-Type
265,Cherokee,Jeep,Jeep_Cherokee
266,Compass,Jeep,Jeep_Compass
267,Grand Cherokee,Jeep,Jeep_Grand Cherokee
268,Liberty,Jeep,Jeep_Liberty
269,Wrangler,Jeep,Jeep_Wrangler
270,Amanti,Kia,Kia_Amanti
271,Forte,Kia,Kia_Forte
272,Optima,Kia,Kia_Optima
273,Rio,Kia,Kia_Rio
274,Rio5,Kia,Kia_Rio5
275,Sephia,Kia,Kia_Sephia
276,Sorento,Kia,Kia_Sorento
277,Soul,Kia,Kia_Soul
278,Sportage,Kia,Kia_Sportage
279,Countach,Lamborghini,Lamborghini_Countach
280,Diablo,Lamborghini,Lamborghini_Diablo
281,Gallardo,Lamborghini,Lamborghini_Gallardo
282,Defender,Land Rover,Land Rover_Defender
283,Defender 90,Land Rover,Land Rover_Defender 90
284,Defender Ice Edition,Land Rover,Land Rover_Defender Ice Edition
285,Discovery,Land Rover,Land Rover_Discovery
286,Discovery Series II,Land Rover,Land Rover_Discovery Series II
287,LR3,Land Rover,Land Rover_LR3
288,Range Rover,Land Rover,Land Rover_Range Rover
289,Range Rover Sport,Land Rover,Land Rover_Range Rover Sport
290,Sterling,Land Rover,Land Rover_Sterling
291,ES,Lexus,Lexus_ES
292,GS,Lexus,Lexus_GS
293,IS,Lexus,Lexus_IS
294,IS-F,Lexus,Lexus_IS-F
295,LS,Lexus,Lexus_LS
296,LX,Lexus,Lexus_LX
297,RX Hybrid,Lexus,Lexus_RX Hybrid
298,SC,Lexus,Lexus_SC
299,Aviator,Lincoln,Lincoln_Aviator
300,Blackwood,Lincoln,Lincoln_Blackwood
301,Continental,Lincoln,Lincoln_Continental
302,Continental Mark VII,Lincoln,Lincoln_Continental Mark VII
303,LS,Lincoln,Lincoln_LS
304,Mark LT,Lincoln,Lincoln_Mark LT
305,Mark VIII,Lincoln,Lincoln_Mark VIII
306,MKS,Lincoln,Lincoln_MKS
307,MKT,Lincoln,Lincoln_MKT
308,Navigator,Lincoln,Lincoln_Navigator
309,Town Car,Lincoln,Lincoln_Town Car
310,Elise,Lotus,Lotus_Elise
311,Esprit,Lotus,Lotus_Esprit
312,Exige,Lotus,Lotus_Exige
313,430,Maserati,Maserati_430
314,Gran Sport,Maserati,Maserati_Gran Sport
315,Quattroporte,Maserati,Maserati_Quattroporte
316,57,Maybach,Maybach_57
317,62,Maybach,Maybach_62
318,Landaulet,Maybach,Maybach_Landaulet
319,323,Mazda,Mazda_323
320,626,Mazda,Mazda_626
321,B-Series,Mazda,Mazda_B-Series
322,Familia,Mazda,Mazda_Familia
323,Mazda3,Mazda,Mazda_Mazda3
324,Mazda6,Mazda,Mazda_Mazda6
325,Mazda6 Sport,Mazda,Mazda_Mazda6 Sport
326,Mazdaspeed 3,Mazda,Mazda_Mazdaspeed 3
327,Miata MX-5,Mazda,Mazda_Miata MX-5
328,MPV,Mazda,Mazda_MPV
329,MX-5,Mazda,Mazda_MX-5
330,MX-6,Mazda,Mazda_MX-6
331,Navajo,Mazda,Mazda_Navajo
332,Protege,Mazda,Mazda_Protege
333,Protege5,Mazda,Mazda_Protege5
334,RX-7,Mazda,Mazda_RX-7
335,RX-8,Mazda,Mazda_RX-8
336,Tribute,Mazda,Mazda_Tribute
337,400SE,Mercedes-Benz,Mercedes-Benz_400SE
338,600SL,Mercedes-Benz,Mercedes-Benz_600SL
339,C-Class,Mercedes-Benz,Mercedes-Benz_C-Class
340,CL-Class,Mercedes-Benz,Mercedes-Benz_CL-Class
341,CLK-Class,Mercedes-Benz,Mercedes-Benz_CLK-Class
342,CLS-Class,Mercedes-Benz,Mercedes-Benz_CLS-Class
343,E-Class,Mercedes-Benz,Mercedes-Benz_E-Class
344,G-Class,Mercedes-Benz,Mercedes-Benz_G-Class
345,R-Class,Mercedes-Benz,Mercedes-Benz_R-Class
346,S-Class,Mercedes-Benz,Mercedes-Benz_S-Class
347,SL-Class,Mercedes-Benz,Mercedes-Benz_SL-Class
348,SLK-Class,Mercedes-Benz,Mercedes-Benz_SLK-Class
349,SLR McLaren,Mercedes-Benz,Mercedes-Benz_SLR McLaren
350,SLS AMG,Mercedes-Benz,Mercedes-Benz_SLS AMG
351,Capri,Mercury,Mercury_Capri
352,Cougar,Mercury,Mercury_Cougar
353,Grand Marquis,Mercury,Mercury_Grand Marquis
354,Lynx,Mercury,Mercury_Lynx
355,Mariner,Mercury,Mercury_Mariner
356,Milan,Mercury,Mercury_Milan
357,Mountaineer,Mercury,Mercury_Mountaineer
358,Sable,Mercury,Mercury_Sable
359,Topaz,Mercury,Mercury_Topaz
360,Tracer,Mercury,Mercury_Tracer
361,Cooper,MINI,MINI_Cooper
362,Challenger,Mitsubishi,Mitsubishi_Challenger
363,Chariot,Mitsubishi,Mitsubishi_Chariot
364,Cordia,Mitsubishi,Mitsubishi_Cordia
365,Diamante,Mitsubishi,Mitsubishi_Diamante
366,Eclipse,Mitsubishi,Mitsubishi_Eclipse
367,Excel,Mitsubishi,Mitsubishi_Excel
368,Expo,Mitsubishi,Mitsubishi_Expo
369,Galant,Mitsubishi,Mitsubishi_Galant
370,GTO,Mitsubishi,Mitsubishi_GTO
371,Lancer,Mitsubishi,Mitsubishi_Lancer
372,Lancer Evolution,Mitsubishi,Mitsubishi_Lancer Evolution
373,Mighty Max,Mitsubishi,Mitsubishi_Mighty Max
374,Mirage,Mitsubishi,Mitsubishi_Mirage
375,Montero,Mitsubishi,Mitsubishi_Montero
376,Outlander,Mitsubishi,Mitsubishi_Outlander
377,Outlander Sport,Mitsubishi,Mitsubishi_Outlander Sport
378,Pajero,Mitsubishi,Mitsubishi_Pajero
379,Raider,Mitsubishi,Mitsubishi_Raider
380,Space,Mitsubishi,Mitsubishi_Space
381,Truck,Mitsubishi,Mitsubishi_Truck
382,Aero 8,Morgan,Morgan_Aero 8
383,240SX,Nissan,Nissan_240SX
384,300ZX,Nissan,Nissan_300ZX
385,350Z,Nissan,Nissan_350Z
386,Altima,Nissan,Nissan_Altima
387,Cube,Nissan,Nissan_Cube
388,Frontier,Nissan,Nissan_Frontier
389,GT-R,Nissan,Nissan_GT-R
390,JUKE,Nissan,Nissan_JUKE
391,Leaf,Nissan,Nissan_Leaf
392,Maxima,Nissan,Nissan_Maxima
393,Murano,Nissan,Nissan_Murano
394,NV3500,Nissan,Nissan_NV3500
395,NX,Nissan,Nissan_NX
396,Pathfinder,Nissan,Nissan_Pathfinder
397,Quest,Nissan,Nissan_Quest
398,Sentra,Nissan,Nissan_Sentra
399,Titan,Nissan,Nissan_Titan
400,Versa,Nissan,Nissan_Versa
401,Xterra,Nissan,Nissan_Xterra
402,Alero,Oldsmobile,Oldsmobile_Alero
403,Aurora,Oldsmobile,Oldsmobile_Aurora
404,Bravada,Oldsmobile,Oldsmobile_Bravada
405,Intrigue,Oldsmobile,Oldsmobile_Intrigue
406,LSS,Oldsmobile,Oldsmobile_LSS
407,Silhouette,Oldsmobile,Oldsmobile_Silhouette
408,Esperante,Panoz,Panoz_Esperante
409,Grand Voyager,Plymouth,Plymouth_Grand Voyager
410,Laser,Plymouth,Plymouth_Laser
411,Neon,Plymouth,Plymouth_Neon
412,Prowler,Plymouth,Plymouth_Prowler
413,Sundance,Plymouth,Plymouth_Sundance
414,Voyager,Plymouth,Plymouth_Voyager
415,6000,Pontiac,Pontiac_6000
416,Bonneville,Pontiac,Pontiac_Bonneville
417,Fiero,Pontiac,Pontiac_Fiero
418,Firebird,Pontiac,Pontiac_Firebird
419,G3,Pontiac,Pontiac_G3
420,G6,Pontiac,Pontiac_G6
421,Grand Am,Pontiac,Pontiac_Grand Am
422,Grand Prix,Pontiac,Pontiac_Grand Prix
423,GTO,Pontiac,Pontiac_GTO
424,LeMans,Pontiac,Pontiac_LeMans
425,Montana SV6,Pontiac,Pontiac_Montana SV6
426,Monterey,Pontiac,Pontiac_Monterey
427,Safari,Pontiac,Pontiac_Safari
428,Sunbird,Pontiac,Pontiac_Sunbird
429,Sunfire,Pontiac,Pontiac_Sunfire
430,Torrent,Pontiac,Pontiac_Torrent
431,Trans Sport,Pontiac,Pontiac_Trans Sport
432,Vibe,Pontiac,Pontiac_Vibe
433,911,Porsche,Porsche_911
434,924,Porsche,Porsche_924
435,944,Porsche,Porsche_944
436,Boxster,Porsche,Porsche_Boxster
437,Cayenne,Porsche,Porsche_Cayenne
438,Panamera,Porsche,Porsche_Panamera
439,3500,Ram,Ram_3500
440,Alliance,Renault,Renault_Alliance
441,Phantom,Rolls-Royce,Rolls-Royce_Phantom
442,900,Saab,Saab_900
443,9000,Saab,Saab_9000
444,44807,Saab,Saab_44807
445,44809,Saab,Saab_44809
446,Astra,Saturn,Saturn_Astra
447,Aura,Saturn,Saturn_Aura
448,Outlook,Saturn,Saturn_Outlook
449,Relay,Saturn,Saturn_Relay
450,S-Series,Saturn,Saturn_S-Series
451,VUE,Saturn,Saturn_VUE
452,xA,Scion,Scion_xA
453,xB,Scion,Scion_xB
454,xD,Scion,Scion_xD
455,Fortwo,Smart,Smart_Fortwo
456,Avanti,Studebaker,Studebaker_Avanti
457,Alcyone SVX,Subaru,Subaru_Alcyone SVX
458,Forester,Subaru,Subaru_Forester
459,Justy,Subaru,Subaru_Justy
460,Legacy,Subaru,Subaru_Legacy
461,Leone,Subaru,Subaru_Leone
462,Outback,Subaru,Subaru_Outback
463,SVX,Subaru,Subaru_SVX
464,Tribeca,Subaru,Subaru_Tribeca
465,Aerio,Suzuki,Suzuki_Aerio
466,Esteem,Suzuki,Suzuki_Esteem
467,Grand Vitara,Suzuki,Suzuki_Grand Vitara
468,Samurai,Suzuki,Suzuki_Samurai
469,Sidekick,Suzuki,Suzuki_Sidekick
470,SJ,Suzuki,Suzuki_SJ
471,Swift,Suzuki,Suzuki_Swift
472,SX4,Suzuki,Suzuki_SX4
473,XL-7,Suzuki,Suzuki_XL-7
474,Roadster,Tesla,Tesla_Roadster
475,4Runner,Toyota,Toyota_4Runner
476,Avalon,Toyota,Toyota_Avalon
477,Camry,Toyota,Toyota_Camry
478,Camry Solara,Toyota,Toyota_Camry Solara
479,Celica,Toyota,Toyota_Celica
480,Corolla,Toyota,Toyota_Corolla
481,Echo,Toyota,Toyota_Echo
482,Highlander Hybrid,Toyota,Toyota_Highlander Hybrid
483,Land Cruiser,Toyota,Toyota_Land Cruiser
484,Matrix,Toyota,Toyota_Matrix
485,MR2,Toyota,Toyota_MR2
486,Prius,Toyota,Toyota_Prius
487,Prius Plug-in Hybrid,Toyota,Toyota_Prius Plug-in Hybrid
488,RAV4,Toyota,Toyota_RAV4
489,Sequoia,Toyota,Toyota_Sequoia
490,Sienna,Toyota,Toyota_Sienna
491,Solara,Toyota,Toyota_Solara
492,Supra,Toyota,Toyota_Supra
493,T100 Xtra,Toyota,Toyota_T100 Xtra
494,Tacoma,Toyota,Toyota_Tacoma
495,Tundra,Toyota,Toyota_Tundra
496,TundraMax,Toyota,Toyota_TundraMax
497,Xtra,Toyota,Toyota_Xtra
498,Yaris,Toyota,Toyota_Yaris
499,Cabriolet,Volkswagen,Volkswagen_Cabriolet
500,Eos,Volkswagen,Volkswagen_Eos
501,Eurovan,Volkswagen,Volkswagen_Eurovan
502,Fox,Volkswagen,Volkswagen_Fox
503,GLI,Volkswagen,Volkswagen_GLI
504,Golf,Volkswagen,Volkswagen_Golf
505,GTI,Volkswagen,Volkswagen_GTI
506,Jetta,Volkswagen,Volkswagen_Jetta
507,Jetta III,Volkswagen,Volkswagen_Jetta III
508,New Beetle,Volkswagen,Volkswagen_New Beetle
509,Passat,Volkswagen,Volkswagen_Passat
510,Phaeton,Volkswagen,Volkswagen_Phaeton
511,R32,Volkswagen,Volkswagen_R32
512,Rabbit,Volkswagen,Volkswagen_Rabbit
513,rio,Volkswagen,Volkswagen_rio
514,riolet,Volkswagen,Volkswagen_riolet
515,Routan,Volkswagen,Volkswagen_Routan
516,Scirocco,Volkswagen,Volkswagen_Scirocco
517,Tiguan,Volkswagen,Volkswagen_Tiguan
518,Touareg,Volkswagen,Volkswagen_Touareg
519,Touareg 2,Volkswagen,Volkswagen_Touareg 2
520,Vanagon,Volkswagen,Volkswagen_Vanagon
521,940,Volvo,Volvo_940
522,C30,Volvo,Volvo_C30
523,C70,Volvo,Volvo_C70
524,S80,Volvo,Volvo_S80
525,V50,Volvo,Volvo_V50
526,XC70,Volvo,Volvo_XC70
527,XC90,Volvo,Volvo_XC90
